"","phylum_class","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","tot_BS_inCS","prop_withCS_ncbi","total_estim_BS","estim_missed_BS","prop_missed_BS","prop_withCSncbi_ncbi","total_estim_BS_bis","estim_missed_BS_bis","prop_missed_BS_bis"
"31","Nematoda_Chromadorea",4127,227,2,1,7.5,3.53553390593274,15,0.00881057268722467,4363.34801762115,236.348017621145,0.0572687224669603,0.00440528634361234,4245.17400881057,118.174008810573,0.0286343612334801
"32","Nematoda_Enoplea",1611,32,1,1,2,NA,2,0.03125,1661.34375,50.34375,0.03125,0.03125,1661.34375,50.34375,0.03125
"33","Nemertea_Hoplonemertea",657,92,10,10,3.27272727272727,1.27207775634268,36,0.108695652173913,819.302371541502,162.302371541502,0.247035573122529,0.108695652173913,819.302371541502,162.302371541502,0.247035573122529
"34","Nemertea_Palaeonemertea",116,27,3,3,4,1.4142135623731,8,0.111111111111111,154.666666666667,38.6666666666667,0.333333333333333,0.111111111111111,154.666666666667,38.6666666666667,0.333333333333333
"35","Nemertea_Pilidiophora",470,63,2,1,1.5,0.707106781186548,3,0.0317460317460317,477.460317460317,7.46031746031741,0.0158730158730158,0.0158730158730159,473.730158730159,3.73015873015873,0.00793650793650795
"36","Platyhelminthes_",2080,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Porifera_Calcarea",712,71,3,3,3.33333333333333,2.3094010767585,10,0.0422535211267606,782.197183098592,70.1971830985916,0.0985915492957747,0.0422535211267606,782.197183098592,70.1971830985916,0.0985915492957747
"38","Porifera_Demospongiae",6911,823,11,10,2.5,0.94053994312596,35,0.0133657351154313,7049.55589307412,138.555893074119,0.020048602673147,0.0121506682867558,7036.95990279465,125.959902794654,0.0182260024301337
"39","Porifera_Homoscleromorpha",103,28,1,1,4,NA,4,0.0357142857142857,114.035714285714,11.0357142857143,0.107142857142857,0.0357142857142857,114.035714285714,11.0357142857143,0.107142857142857
"40","Rotifera_Eurotatoria",143,20,1,1,15,NA,15,0.05,243.1,100.1,0.7,0.05,243.1,100.1,0.7
"41","Sipuncula_Phascolosomatidea",46,25,6,6,2.42857142857143,0.786795792469443,17,0.24,61.7714285714286,15.7714285714286,0.342857142857143,0.24,61.7714285714286,15.7714285714286,0.342857142857143
"42","Sipuncula_Sipunculidea",108,29,3,3,3.33333333333333,1.52752523165195,10,0.103448275862069,134.068965517241,26.0689655172414,0.241379310344828,0.103448275862069,134.068965517241,26.0689655172414,0.241379310344828
"43","Tardigrada_Heterotardigrada",192,14,1,1,2,NA,2,0.0714285714285714,205.714285714286,13.7142857142857,0.0714285714285715,0.0714285714285714,205.714285714286,13.7142857142857,0.0714285714285715
