i,cs_present,size,phylum
Ikosipodoides,FALSE,1,Annelida
Ikosipodus,FALSE,1,Annelida
Ilyphagus,FALSE,10,Annelida
Imajimaea,FALSE,4,Annelida
Imajimainereis,FALSE,1,Annelida
Imajimapholoe,FALSE,1,Annelida
Inanidrilus,FALSE,26,Annelida
Inermidrilus,FALSE,1,Annelida
Inermonephtys,FALSE,10,Annelida
Inermosyllis,FALSE,4,Annelida
Insulodrilus,FALSE,1,Annelida
Intoshella,FALSE,3,Annelida
Iospilus,FALSE,1,Annelida
Iphianissa,FALSE,1,Annelida
Iphione,FALSE,8,Annelida
Iphionella,FALSE,1,Annelida
Iphionides,FALSE,1,Annelida
Iphitime,FALSE,7,Annelida
Irmula,FALSE,1,Annelida
Isochaetides,FALSE,1,Annelida
Isocirrus,FALSE,12,Annelida
Isolda,FALSE,6,Annelida
Jakobia,FALSE,3,Annelida
Jamiesoniella,FALSE,3,Annelida
Janita,FALSE,1,Annelida
Janua,FALSE,1,Annelida
Janusion,FALSE,6,Annelida
Jasmineira,FALSE,18,Annelida
Johanssonia,FALSE,4,Annelida
Johnstonia,FALSE,3,Annelida
Josephella,FALSE,1,Annelida
Jugamphicteis,FALSE,3,Annelida
Jugaria,FALSE,4,Annelida
Kainonereis,FALSE,5,Annelida
Karroonsyllis,FALSE,1,Annelida
Kermadecella,FALSE,1,Annelida
Kettnerites,FALSE,1,Annelida
Kimberleya,FALSE,1,Annelida
Kinberginereis,FALSE,1,Annelida
Kinbergonuphis,FALSE,40,Annelida
Kirkegaardia,FALSE,42,Annelida
Knightjonesia,FALSE,1,Annelida
Krohnia,FALSE,5,Annelida
Kurchatovus,FALSE,2,Annelida
Kuwaita,FALSE,5,Annelida
Labioleanira,FALSE,3,Annelida
Labiosthenolepis,FALSE,3,Annelida
Labrorostratus,FALSE,6,Annelida
Lacydonia,FALSE,12,Annelida
Laeonereis,FALSE,4,Annelida
Laeospira,FALSE,8,Annelida
Laetmonecticus,FALSE,1,Annelida
Laetmonice,FALSE,27,Annelida
Lagis,FALSE,11,Annelida
Lagisca,FALSE,25,Annelida
Lamelleulepethus,FALSE,2,Annelida
Lamellibrachia,FALSE,8,Annelida
Lamellisabella,FALSE,7,Annelida
Lamellisyllis,FALSE,1,Annelida
Laminatubus,FALSE,1,Annelida
Lamispina,FALSE,10,Annelida
Lanassa,FALSE,9,Annelida
Langerhansia,FALSE,4,Annelida
Lanice,FALSE,15,Annelida
Lanicides,FALSE,10,Annelida
Lanicola,FALSE,7,Annelida
Laonome,FALSE,9,Annelida
Laphania,FALSE,1,Annelida
Lapithas,FALSE,1,Annelida
Laranda,FALSE,2,Annelida
Larymna,FALSE,1,Annelida
Laubieriellus,FALSE,4,Annelida
Laubieriopsis,FALSE,8,Annelida
Laubierpholoe,FALSE,5,Annelida
Laubierus,FALSE,2,Annelida
Leaena,FALSE,13,Annelida
Leanira,FALSE,11,Annelida
Leiocapitella,FALSE,5,Annelida
Leiocapitellides,FALSE,1,Annelida
Leiochone,FALSE,6,Annelida
Leiochrides,FALSE,10,Annelida
Leiochrus,FALSE,1,Annelida
Leocrates,FALSE,14,Annelida
Leocratides,FALSE,3,Annelida
Leodamas,FALSE,27,Annelida
Leodice,FALSE,33,Annelida
Leodora,FALSE,1,Annelida
Leonnates,FALSE,12,Annelida
Lepidametria,FALSE,4,Annelida
Lepidasthenia,FALSE,42,Annelida
Lepidastheniella,FALSE,4,Annelida
Lepidofimbria,FALSE,1,Annelida
Lepidogyra,FALSE,1,Annelida
Lepidonereis,FALSE,1,Annelida
Lepidonotopodium,FALSE,8,Annelida
Leporinabdella,FALSE,1,Annelida
Leprea,FALSE,3,Annelida
Leptoecia,FALSE,7,Annelida
Leptonereis,FALSE,1,Annelida
Leptonerilla,FALSE,3,Annelida
Leucia,FALSE,2,Annelida
Leucodore,FALSE,1,Annelida
Levensteiniella,FALSE,7,Annelida
Levidorum,FALSE,4,Annelida
Levinsenia,FALSE,22,Annelida
Limnodriloides,FALSE,57,Annelida
Limnotrachelobdella,FALSE,1,Annelida
Lindaspio,FALSE,3,Annelida
Lindrilus,FALSE,3,Annelida
Linopherus,FALSE,21,Annelida
Lipobranchius,FALSE,1,Annelida
Lissomyema,FALSE,2,Annelida
Listriolobus,FALSE,6,Annelida
Litocorsa,FALSE,7,Annelida
Lizardia,FALSE,1,Annelida
Lobatocerebrum,FALSE,2,Annelida
Loboneris,FALSE,1,Annelida
Lobopelma,FALSE,1,Annelida
Loimia,FALSE,28,Annelida
Longibrachium,FALSE,5,Annelida
Longicarpus,FALSE,2,Annelida
Lopadorrhynchus,FALSE,10,Annelida
Lophosyllis,FALSE,1,Annelida
Lugia,FALSE,6,Annelida
Lumbricalus,FALSE,7,Annelida
Lumbricillus,FALSE,76,Annelida
Lumbriclymene,FALSE,9,Annelida
