"","Species","Phylum","Class"
"248","Hippoglossus hippoglossus","Chordata","Teleostei"
"249","Clione limacina","Mollusca","Gastropoda"
"250","Cyclopterus lumpus","Chordata","Teleostei"
"251","Serrivomer beanii","Chordata","Teleostei"
"252","Ctenodiscus crispatus","Echinodermata","Asteroidea"
"253","Appendicularia","Chordata","Appendicularia"
"254","Alcidae","Chordata","Aves"
"255","Mysidae","Arthropoda","Malacostraca"
"256","Umbellula","Cnidaria","Anthozoa"
"257","Cnidaria","Cnidaria",NA
"258","Limacina helicina","Mollusca","Gastropoda"
"259","Cyclothone microdon","Chordata","Teleostei"
"260","Oncaea","Arthropoda","Copepoda"
"261","Eurythenes gryllus","Arthropoda","Malacostraca"
"262","Eumicrotremus","Chordata","Teleostei"
"263","Cottidae","Chordata","Teleostei"
"264","Gorgonocephalus","Echinodermata","Ophiuroidea"
"265","Icasterias panopla","Echinodermata","Asteroidea"
"266","Acanthostepheia malmgreni","Arthropoda","Malacostraca"
"267","Amalopenaeus elegans","Arthropoda","Malacostraca"
"268","Oikopleura","Chordata","Appendicularia"
"269","Balaenoptera musculus","Chordata","Mammalia"
"270","Leptothecata","Cnidaria","Hydrozoa"
"271","Stegocephalidae","Arthropoda","Malacostraca"
"272","Discoconchoecia elegans","Arthropoda","Ostracoda"
"273","Clupea harengus","Chordata","Teleostei"
"274","Salvelinus fontinalis","Chordata","Teleostei"
"275","Cumacea","Arthropoda","Malacostraca"
"276","Liparis tunicatus","Chordata","Teleostei"
"277","Coryphaenoides guentheri","Chordata","Teleostei"
"278","Lycodes seminudus","Chordata","Teleostei"
"279","Xema sabini","Chordata","Aves"
"280","Larus glaucoides","Chordata","Aves"
"281","Leptychaster arcticus","Echinodermata","Asteroidea"
"282","Meganyctiphanes","Arthropoda","Malacostraca"
"283","Coregonus clupeaformis","Chordata","Teleostei"
"284","Tomopteris","Annelida","Polychaeta"
"285","Themisto abyssorum","Arthropoda","Malacostraca"
"286","Bathypolypus arcticus","Mollusca","Cephalopoda"
"287","Poraniomorpha (Poraniomorpha) bidens","Echinodermata","Asteroidea"
"288","Buccinum","Mollusca","Gastropoda"
"289","Lumpenus fabricii","Chordata","Teleostei"
"290","Rhachotropis","Arthropoda","Malacostraca"
"291","Pasiphaea","Arthropoda","Malacostraca"
"292","Larus thayeri","Chordata","Aves"
"293","Gaetanus","Arthropoda","Copepoda"
"294","Anthoathecata","Cnidaria","Hydrozoa"
"295","Pagophilus groenlandicus","Chordata","Mammalia"
"296","Ampelisca","Arthropoda","Malacostraca"
"297","Pardalisca","Arthropoda","Malacostraca"
"298","Bathypolypus","Mollusca","Cephalopoda"
"299","Paraeuchaeta glacialis","Arthropoda","Copepoda"
"300","Gaetanus tenuispinus","Arthropoda","Copepoda"
"301","Monoculodes","Arthropoda","Malacostraca"
"302","Isopoda","Arthropoda","Malacostraca"
"303","Bythocaris leucopis","Arthropoda","Malacostraca"
"304","Heliometra","Echinodermata","Crinoidea"
"305","Liljeborgia fissicornis","Arthropoda","Malacostraca"
"306","Ampeliscidae","Arthropoda","Malacostraca"
"307","Polyacanthonotus rissoanus","Chordata","Teleostei"
"308","Nototropis smitti","Arthropoda","Malacostraca"
"309","Pseudoamallothrix ovata","Arthropoda","Copepoda"
"310","Pteraster obscurus","Echinodermata","Asteroidea"
"311","Buccinidae","Mollusca","Gastropoda"
"312","Numenius phaeopus","Chordata","Aves"
"313","Harpacticoida","Arthropoda","Copepoda"
"314","Heterorhabdus norvegicus","Arthropoda","Copepoda"
"315","Gymnelus retrodorsalis","Chordata","Teleostei"
"316","Hyas coarctatus","Arthropoda","Malacostraca"
"317","Calathura brachiata","Arthropoda","Malacostraca"
"318","Parapasiphae sulcatifrons","Arthropoda","Malacostraca"
"319","Calanoida","Arthropoda","Copepoda"
"320","Triconia borealis","Arthropoda","Copepoda"
"321","Harmothoe imbricata","Annelida","Polychaeta"
"322","Bathyarca glacialis","Mollusca","Bivalvia"
"323","Stichaeus punctatus","Chordata","Teleostei"
"324","Cottunculus thomsonii","Chordata","Teleostei"
"325","Sabinea hystrix","Arthropoda","Malacostraca"
"326","Borostomias antarcticus","Chordata","Teleostei"
"327","Stomias ferox","Chordata","Teleostei"
"328","Ampelisca eschrichtii","Arthropoda","Malacostraca"
"329","Phormosoma placenta","Echinodermata","Echinoidea"
"330","Eualus macilentus","Arthropoda","Malacostraca"
"331","Clione","Mollusca","Gastropoda"
"332","Ophiopholis aculeata","Echinodermata","Ophiuroidea"
"333","Crinoidea","Echinodermata","Crinoidea"
"334","Gonatus","Mollusca","Cephalopoda"
"335","Phalaropus lobatus","Chordata","Aves"
"336","Pseudocalanus elongatus","Arthropoda","Copepoda"
"337","Trachyrincus murrayi","Chordata","Teleostei"
"338","Globicephala melas","Chordata","Mammalia"
"339","Leptasterias (Hexasterias) polaris","Echinodermata","Asteroidea"
"340","Tomopteris septentrionalis","Annelida","Polychaeta"
"341","Microcalanus pusillus","Arthropoda","Copepoda"
"342","Bythocaris payeri","Arthropoda","Malacostraca"
"343","Anonyx","Arthropoda","Malacostraca"
"344","Acanthonotozoma cristatum","Arthropoda","Malacostraca"
"345","Polyplacophora","Mollusca","Polyplacophora"
"346","Malacosteus niger","Chordata","Teleostei"
"347","Polymastiidae","Porifera","Demospongiae"
"348","Hyperoodon ampullatus","Chordata","Mammalia"
"349","Calidris pusilla","Chordata","Aves"
"350","Brevoortia tyrannus","Chordata","Teleostei"
"351","Lycodonus mirabilis","Chordata","Teleostei"
"352","Charadrius melodus","Chordata","Aves"
"353","Chiasmodon harteli","Chordata","Teleostei"
"354","Solaster endeca","Echinodermata","Asteroidea"
"355","Crangonidae","Arthropoda","Malacostraca"
"356","Heterorhabdus","Arthropoda","Copepoda"
"357","Rajella lintea","Chordata","Elasmobranchii"
"358","Caprellidae","Arthropoda","Malacostraca"
"359","Ophiura robusta","Echinodermata","Ophiuroidea"
"360","Eusirus","Arthropoda","Malacostraca"
"361","Ophiacantha bidentata","Echinodermata","Ophiuroidea"
"362","Octopoda","Mollusca","Cephalopoda"
"363","Lycodes turneri","Chordata","Teleostei"
"364","Stercorarius skua","Chordata","Aves"
"365","Alepocephalus agassizii","Chordata","Teleostei"
"366","Lycenchelys muraena","Chordata","Teleostei"
"367","Actinopterygii","Chordata",NA
"368","Cottunculus","Chordata","Teleostei"
"369","Stereomastis sculpta","Arthropoda","Malacostraca"
"370","Euchaetidae","Arthropoda","Copepoda"
"371","Ammodytes dubius","Chordata","Teleostei"
"372","Ophelia limacina","Annelida","Polychaeta"
"373","Limacina retroversa","Mollusca","Gastropoda"
"374","Hippasteria phrygiana","Echinodermata","Asteroidea"
"375","Ceramaster granularis","Echinodermata","Asteroidea"
"376","Radicipes","Cnidaria","Anthozoa"
"377","Poraniomorpha (Poraniomorpha) tumida","Echinodermata","Asteroidea"
"378","Lissodendoryx (Lissodendoryx) complicata","Porifera","Demospongiae"
"379","Ostracoda","Arthropoda","Ostracoda"
"380","Scolecithricella","Arthropoda","Copepoda"
"381","Raja","Chordata","Elasmobranchii"
"382","Bythocaris","Arthropoda","Malacostraca"
"383","Nemertea","Nemertea",NA
"384","Gnathophausia","Arthropoda","Malacostraca"
"385","Anthozoa","Cnidaria","Anthozoa"
"386","Myxine glutinosa","Chordata","Myxini"
"387","Munidopsis curvirostra","Arthropoda","Malacostraca"
"388","Anarhichadidae","Chordata","Teleostei"
"389","Psolus fabricii","Echinodermata","Holothuroidea"
"390","Sterna","Chordata","Aves"
"391","Mytilus edulis","Mollusca","Bivalvia"
"392","Ceriantharia","Cnidaria","Anthozoa"
"393","Careproctus micropus","Chordata","Teleostei"
"394","Neopleustes pulchellus","Arthropoda","Malacostraca"
"395","Phyllodocidae","Annelida","Polychaeta"
"396","Harpinia","Arthropoda","Malacostraca"
"397","Lycodes polaris","Chordata","Teleostei"
"398","Paraliparis garmani","Chordata","Teleostei"
"399","Amblyraja jenseni","Chordata","Elasmobranchii"
"400","Boreomysinae","Arthropoda","Malacostraca"
"401","Hyperia","Arthropoda","Malacostraca"
"402","Pholoe","Annelida","Polychaeta"
"403","Eteone longa","Annelida","Polychaeta"
"404","Ischyrocerus anguipes","Arthropoda","Malacostraca"
"405","Rossia palpebrosa","Mollusca","Cephalopoda"
"406","Myoxocephalus","Chordata","Teleostei"
"407","Lycodes terraenovae","Chordata","Teleostei"
"408","Phycis chesteri","Chordata","Teleostei"
"409","Echinodermata","Echinodermata",NA
"410","Gammaropsis","Arthropoda","Malacostraca"
"411","Coryphaenoides brevibarbis","Chordata","Teleostei"
"412","Caristius fasciatus","Chordata","Teleostei"
"413","Gammaridea","Arthropoda","Malacostraca"
"414","Ophiurida","Echinodermata","Ophiuroidea"
"415","Terebellidae","Annelida","Polychaeta"
"416","Mertensia ovum","Ctenophora","Tentaculata"
"417","Metridia","Arthropoda","Copepoda"
"418","Sepiolidae","Mollusca","Cephalopoda"
"419","Bathytroctes","Chordata","Teleostei"
"420","Nereis pelagica","Annelida","Polychaeta"
"421","Notoscopelus kroyeri","Chordata","Teleostei"
"422","Lycodes mcallisteri","Chordata","Teleostei"
"423","Cephalopoda","Mollusca","Cephalopoda"
"424","Ammodytes hexapterus","Chordata","Teleostei"
"425","Limacina","Mollusca","Gastropoda"
"426","Oedicerotidae","Arthropoda","Malacostraca"
"427","Erignathus barbatus","Chordata","Mammalia"
"428","Westwoodilla","Arthropoda","Malacostraca"
"429","Eualus fabricii","Arthropoda","Malacostraca"
"430","Thielea helicoides","Mollusca","Gastropoda"
"431","Brisingidae","Echinodermata","Asteroidea"
"432","Malacostraca","Arthropoda","Malacostraca"
"433","Strongylocentrotus droebachiensis","Echinodermata","Echinoidea"
"434","Chiasmodon niger","Chordata","Teleostei"
"435","Larus glaucoides kumlieni","Chordata","Aves"
"436","Cucumaria frondosa","Echinodermata","Holothuroidea"
"437","Ischyrocerus","Arthropoda","Malacostraca"
"438","Hymedesmiidae","Porifera","Demospongiae"
"439","Majidae","Arthropoda","Malacostraca"
"440","Catostomus catostomus","Chordata","Teleostei"
"441","Elofsonella neoconcinna","Arthropoda","Ostracoda"
"442","Porania","Echinodermata","Asteroidea"
"443","Dimophyes arctica","Cnidaria","Hydrozoa"
"444","Bathyarca","Mollusca","Bivalvia"
"445","Actinauge verrillii","Cnidaria","Anthozoa"
"446","Hiatella arctica","Mollusca","Bivalvia"
"447","Baffinicythere emarginata","Arthropoda","Ostracoda"
"448","Alepocephalus bairdii","Chordata","Teleostei"
"449","Somateria fischeri","Chordata","Aves"
"450","Ophiura sarsii","Echinodermata","Ophiuroidea"
"451","Paraliparis","Chordata","Teleostei"
"452","Cetacea","Chordata","Mammalia"
"453","Bythocaris simplicirostris","Arthropoda","Malacostraca"
"454","Spirontocaris liljeborgii","Arthropoda","Malacostraca"
"455","Synidotea","Arthropoda","Malacostraca"
"456","Normanicythere leioderma","Arthropoda","Ostracoda"
"457","Cistenides granulata","Annelida","Polychaeta"
"458","Scoloplos armiger","Annelida","Polychaeta"
"459","Sarsicytheridea bradii","Arthropoda","Ostracoda"
"460","Oikopleura (Vexillaria) labradoriensis","Chordata","Appendicularia"
"461","Sarsicytheridea punctillata","Arthropoda","Ostracoda"
"462","Syllidae","Annelida","Polychaeta"
"463","Beroe cucumis","Ctenophora","Nuda"
"464","Ischyrocerus latipes","Arthropoda","Malacostraca"
"465","Harmothoe rarispina","Annelida","Polychaeta"
"466","Terebellides stroemii","Annelida","Polychaeta"
"467","Patagonacythere dubia","Arthropoda","Ostracoda"
"468","Myoxocephalus octodecemspinosus","Chordata","Teleostei"
"469","Oithona setigera setigera","Arthropoda","Copepoda"
"470","Robertsonites tuberculatus","Arthropoda","Ostracoda"
"471","Thysanoessa inermis","Arthropoda","Malacostraca"
"472","Notacanthidae","Chordata","Teleostei"
"473","Oediceros","Arthropoda","Malacostraca"
"474","Pleustes (Pleustes) panoplus","Arthropoda","Malacostraca"
"475","Hexactinellida","Porifera","Hexactinellida"
"476","Anisarchus medius","Chordata","Teleostei"
"477","Cleippides quadricuspis","Arthropoda","Malacostraca"
"478","Lafoea dumosa","Cnidaria","Hydrozoa"
