,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
,,,,,,,,,,Crinoidea,299.3098859,4num_bio_missing,14,0.063492261,,,Collembola,49,3,,,,,,,,
,,,,,,,,,,Holothuroidea,199.539924,4num_bio_missing,15,-0.485625721,,,Insecta,50,-3,,,,,,,,
,,,,,,,,,,Echinoidea,213.7927757,4num_bio_missing,16,-0.407180295,,,Pycnogonida,44,3,,,,,,,,
,,,,,,,,,,Ophiuroidea,243.8821293,4num_bio_missing,17,-0.241573285,,,Merostomata,45,-3,,,,,,,,
,,,,,,,,,,Asteroidea,228.0456274,4num_bio_missing,18,-0.328734869,,,Arachnida,46,-3,,,,,,,,
,,,,,,,,,,Enoplea,171.0342205,4num_bio_missing,30,-0.642516572,,,Clitellata,26,3,,,,,,,,
,,,,,,,,,,Chromadorea,641.378327,4num_bio_missing,31,1.946182482,,,Polychaeta,27,3,,,,,,,,
,,,,,,,,,,Heterotardigrada,171.0342205,4num_bio_missing,32,-0.642516572,,,Nemertea,28,3,,,,,,,,
,,,,,,,,,,Ostracoda,342.0684411,4num_bio_missing,36,0.298828538,,,Rhynchonellata,29,3,,,,,,,,
,,,,,,,,,,Malacostraca,243.0486292,4num_bio_missing,37,-0.246160736,,,Lingulata,30,3,,,,,,,,
,,,,,,,,,,Thecostraca,264.3256135,4num_bio_missing,38,-0.129055603,,,Craniata,31,3,,,,,,,,
,,,,,,,,,,Copepoda,296.0207663,4num_bio_missing,39,0.04538947,,,Eurotatoria,25,3,,,,,,,,
,,,,,,,,,,Insecta,256.5513308,4num_bio_missing,35,-0.171844017,,,Monoplacophora,34,3,,,,,,,,
,,,,,,,,,,Pycnogonida,256.5513308,4num_bio_missing,33,-0.171844017,,,Gastropoda,35,-3,,,,,,,,
,,,,,,,,,,Arachnida,213.7927757,4num_bio_missing,34,-0.407180295,,,Bivalvia,36,3,,,,,,,,
,,,,,,,,,,Clitellata,320.6891635,4num_bio_missing,21,0.1811604,,,Polyplacophora,37,3,,,,,,,,
,,,,,,,,,,Polychaeta,254.1536548,4num_bio_missing,22,-0.185040444,,,Caudofoveata,38,3,,,,,,,,
,,,,,,,,,,Hoplonemertea,279.8741791,4num_bio_missing,25,-0.043478775,,,Solenogastres,39,3,,,,,,,,
,,,,,,,,,,Pilidiophora,128.2756654,4num_bio_missing,24,-0.87785285,,,Scaphopoda,33,3,,,,,,,,
,,,,,,,,,,Palaeonemertea,342.0684411,4num_bio_missing,23,0.298828538,,,Cephalopoda,32,-3,,,,,,,,
,,,,,,,,,,Eurotatoria,1282.756654,4num_bio_missing,20,5.476226648,,,Gymnolaemata,24,3,,,,,,,,
