"","V1","V2"
"463","Schizocosmus abatoides","Echinodermata"
"464","Volvarina hyalina","Mollusca"
"465","Pseudorchomene plebs","Arthropoda"
"466","Epimeria (Drakepimeria) schiaparelli","Arthropoda"
"467","Augeneria tentaculata","Annelida"
"468","Notocidaris hastata","Echinodermata"
"469","Barrukia cristata","Annelida"
"470","Billardia subrufa","Cnidaria"
"471","Staurotheca antarctica","Cnidaria"
"472","Lissotesta liratula","Mollusca"
"473","Turritellopsis latior","Mollusca"
"474","Paralomis birsteini","Arthropoda"
"475","Dactylanthus antarcticus","Cnidaria"
"476","Fannyella (Cyathogorgia) spinosa","Cnidaria"
"477","Pseudorchomene rossi","Arthropoda"
"478","Notocidaris lanceolata","Echinodermata"
"479","Lysasterias perrieri","Echinodermata"
"480","Astrochlamys bruneus","Echinodermata"
"481","Euphrosine monroi","Annelida"
"482","Staurotheca pachyclada","Cnidaria"
"483","Accalathura gigantissima","Arthropoda"
"484","Cyclaspis gigas","Arthropoda"
"485","Acirsa antarctica","Mollusca"
"486","Falsimargarita thielei","Mollusca"
"487","Amblyraja georgiana","Chordata"
"488","Perkinsiana magalhaensis","Annelida"
"489","Philodina alata","Rotifera"
"490","Cyclothone microdon","Chordata"
"491","Harmothoe spinosa","Annelida"
"492","Ophidiogorgia paradoxa","Cnidaria"
"493","Anasterias antarctica","Echinodermata"
"494","Marseniopsis conica","Mollusca"
"495","Silicula rouchi","Mollusca"
"496","Torellia exilis","Mollusca"
"497","Peraeospinosus emergensis","Arthropoda"
"498","Habrotrocha constricta","Rotifera"
"499","Pachypellina fistulata","Porifera"
"500","Eurypon miniaceum","Porifera"
"501","Lysasterias joffrei","Echinodermata"
"502","Saliasterias brachiata","Echinodermata"
"503","Caberea darwinii","Bryozoa"
"504","Rhodine intermedia","Annelida"
"505","Travisia kerguelensis","Annelida"
"506","Smittina antarctica","Bryozoa"
"507","Oswaldella terranovae","Cnidaria"
"508","Scolelepis (Scolelepis) eltaninae","Annelida"
"509","Leucon (Crymoleucon) antarcticus","Arthropoda"
"510","Philobrya wandelensis","Mollusca"
