"","scientificName","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonomicStatus","namePublishedInYear","scientificNameAuthorship","acceptedNameUsage","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","hasCS","hasRIOK","hasCSss","has1cpa","SimplifiedName","ncbi","mito","dna","mitonuc","dupSN","yearb","gs","phylum_class","area"
"72","Sepioteuthis lessoniana","Mollusca","Cephalopoda","Myopsida","Loliginidae","Sepioteuthis","","lessoniana",NA,"accepted","1826","d'Orbigny, 1826","Sepioteuthis lessoniana",FALSE,TRUE,TRUE,TRUE,FALSE,3,201.1894,73.30166,89257051.51,100,TRUE,TRUE,FALSE,TRUE,"Sepioteuthis lessoniana",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1826,3,"MolluscaCephalopoda","5"
"73","Seriola lalandi","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","","lalandi",NA,"accepted","","Valenciennes, 1833","Seriola lalandi",FALSE,TRUE,TRUE,TRUE,FALSE,3,296.4271985,81.77169847,140854306.4,100,TRUE,TRUE,TRUE,TRUE,"Seriola lalandi",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1833,9,"ChordataActinopterygii","8"
"74","Siganus fuscescens","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus","","fuscescens",NA,"accepted","","(Houttuyn, 1782)","Siganus fuscescens",FALSE,TRUE,TRUE,TRUE,FALSE,3,152.239148,72.75,67252948.13,100,TRUE,TRUE,TRUE,TRUE,"Siganus fuscescens",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1782,29,"ChordataActinopterygii","4"
"75","Solea solea","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","","solea",NA,"accepted","","(Linnaeus, 1758)","Solea solea",FALSE,TRUE,TRUE,FALSE,FALSE,2,23.5878,22.0351,2215323.889,100,TRUE,TRUE,TRUE,TRUE,"Solea solea",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,10,"ChordataActinopterygii","1"
"76","Spirobranchus tetraceros","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus","","tetraceros",NA,"accepted","","(Schmarda, 1861)","Spirobranchus tetraceros",FALSE,TRUE,TRUE,TRUE,FALSE,3,222.46214,71.74703,92834107.48,100,TRUE,FALSE,TRUE,TRUE,"Spirobranchus tetraceros",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1861,36,"AnnelidaPolychaeta","5"
"77","Stegastes variabilis","Chordata","Actinopterygii","Perciformes","Pomacentridae","Stegastes","","variabilis",NA,"accepted","","(Castelnau, 1855)","Stegastes variabilis",FALSE,TRUE,TRUE,TRUE,FALSE,3,18.50543806,9.827266899,631733.6795,100,TRUE,TRUE,TRUE,TRUE,"Stegastes variabilis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1855,39,"ChordataActinopterygii","1"
"78","Stolephorus indicus","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Stolephorus","","indicus",NA,"accepted","","(van Hasselt, 1823)","Stolephorus indicus",FALSE,TRUE,TRUE,TRUE,FALSE,3,111.7387996,45.526466,43939083.28,100,TRUE,FALSE,FALSE,FALSE,"Stolephorus indicus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1823,20,"ChordataActinopterygii","3"
"79","Stramonita haemastoma","Mollusca","Gastropoda","Neogastropoda","Muricidae","Stramonita","","haemastoma",NA,"accepted","","(Linnaeus, 1767)","Stramonita haemastoma",FALSE,TRUE,TRUE,TRUE,FALSE,3,136.1672633,81,196839249.2,100,TRUE,FALSE,TRUE,TRUE,"Stramonita haemastoma",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1767,9,"MolluscaGastropoda","11"
"80","Streblospio benedicti","Annelida","Polychaeta","Spionida","Spionidae","Streblospio","","benedicti",NA,"accepted","1879","Webster, 1879","Streblospio benedicti",FALSE,TRUE,TRUE,TRUE,FALSE,3,140.5715532,30.85918,26919562.09,100,TRUE,TRUE,TRUE,TRUE,"Streblospio benedicti",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1879,7,"AnnelidaPolychaeta","2"
"81","Subeucalanus crassus","Arthropoda","Hexanauplia","Calanoida","Subeucalanidae","Subeucalanus","","crassus",NA,"accepted","","(Giesbrecht, 1888)","Subeucalanus crassus",FALSE,TRUE,TRUE,TRUE,FALSE,3,282.2268906,104.65633,220053138.6,100,TRUE,FALSE,FALSE,FALSE,"Subeucalanus crassus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1888,9,"ArthropodaHexanauplia","12"
"82","Syllis gracilis","Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","","gracilis",NA,"accepted","1840","Grube, 1840","Syllis gracilis",TRUE,TRUE,TRUE,TRUE,FALSE,4,246.8454689,100.08333,158185949.7,100,TRUE,TRUE,FALSE,TRUE,"Syllis gracilis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1840,156,"AnnelidaPolychaeta","9"
"83","Tetraclita squamosa","Arthropoda","Hexanauplia","Sessilia","Tetraclitidae","Tetraclita","","squamosa",NA,"accepted","","(Bruguière, 1789)","Tetraclita squamosa",FALSE,TRUE,TRUE,TRUE,FALSE,3,276.4015329,68.37011835,102792095,100,TRUE,TRUE,TRUE,TRUE,"Tetraclita squamosa",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1789,17,"ArthropodaHexanauplia","6"
"84","Watersipora subtorquata","Bryozoa","Gymnolaemata","Cheilostomatida","Watersiporidae","Watersipora","","subtorquata",NA,"accepted","","(d'Orbigny, 1852)","Watersipora subtorquata",FALSE,TRUE,TRUE,TRUE,FALSE,3,282.7175766,100.0782708,140481360.7,100,TRUE,TRUE,TRUE,TRUE,"Watersipora subtorquata",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1852,13,"BryozoaGymnolaemata","8"
"85","Xiphopenaeus kroyeri","Arthropoda","Malacostraca","Decapoda","Penaeidae","Xiphopenaeus","","kroyeri",NA,"accepted","","(Heller, 1862)","Xiphopenaeus kroyeri",FALSE,TRUE,TRUE,TRUE,FALSE,3,60.9444359,60.5840015,15886731.83,100,TRUE,TRUE,FALSE,TRUE,"Xiphopenaeus kroyeri",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1862,4,"ArthropodaMalacostraca","1"
