Species
Laeospira berkeleyana
Laevichlamys superficialis
Lagocephalus guentheri
Lagocephalus lagocephalus lagocephalus
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Laminaria ochroleuca
Lamprohaminoea ovalis
Laonome calida
Laonome elegans
Laonome sp.
Laonome triangularis
Laonome xeprovala
Laonome xeprovala sp. nov.
Lateolabrax japonicus
Laternula anatina
Laticorophium baconi
Latopilumnus malardi
Laurencia brongniartii
Laurencia caduciramulosa
Laurencia chondrioides
Laurencia dendroidea
Laurencia majuscula
Laurencia minuta
Laurencia okamurae
Leathesia marina
Lecithochirium magnicaudatum
Leiocapitellides analis
Leiochrides australis
Leiosolenus hanleyanus
Lennoxia faveolata
Leonnates decipiens
Leonnates indicus
Leonnates persicus
Lepadogaster candolii
Lepidodinium chlorophorum
Lepidonotus tenuisetosus
Lepomis gibbosus
Leptochela (Leptochela) aculeocaudata
Leptochela (Leptochela) pugnax
Leptochela pugnax
Leptomesochra tenuicornis
Leptosiphonia brodiei
Lernanthropus callionymicola
Lessardia elongata
Leucosolenia eleanor
Leucosolenia somesii
Leucotina cf. eva
Leucotina natalensis
Levanderina fissa
Liagora viscida
Libinia dubia
Licornia jolloisii
Lienardia mighelsi
Ligia italica
Ligia oceanica
Ligophorus kaohsianghsieni
Ligophorus llewellyni
Ligophorus pilengas
Limecola balthica
Limnodrilus cervix
Limnomysis benedeni
Limnoria lignorum
Limnoria quadripunctata
Limnoria tripunctata
Limulus polyphemus
Linguimaera caesaris
Linopherus acarunculatus
Linopherus canariensis
Linopherus incarunculata
Lioberus ligneus
Lioloma pacificum
Lissodendoryx isodictyalis
Lithoglyphus naticoides
Lithognathus mormyrus
Lithophyllum orbiculatum
Lithophyllum yessoense
Litopenaeus stylirostris
Litopenaeus vannamei
Litosiphon laminariae
Littorina saxatilis
Livoneca redmanii
Liza aurata
Liza carinata
Liza saliens
Lobophora lessepsiana
Lobophora schneideri
Loimia medusa
Lomentaria flaccida
Lomentaria hakodatensis
Longibranchium atlanticum
Lophocladia lallemandii
Lophocladia trichoclados
Lophopodella carteri
