"","Species","Phylum","Class"
"1344","Ciliata","Chordata","Teleostei"
"1345","Amphiura acuta","Echinodermata","Ophiuroidea"
"1346","Thalassarche cauta","Chordata","Aves"
"1347","Lonchotaster tartareus","Echinodermata","Asteroidea"
"1348","Betamorpha fusiformis","Arthropoda","Malacostraca"
"1349","Leptoecia benthaliana","Annelida","Polychaeta"
"1350","Psolidium gaini","Echinodermata","Holothuroidea"
"1351","Diastylis mawsoni","Arthropoda","Malacostraca"
"1352","Limatula simillima","Mollusca","Bivalvia"
"1353","Orchomenella cavimanus","Arthropoda","Malacostraca"
"1354","Scolecitrichidae","Arthropoda","Copepoda"
"1355","Poecilosclerida","Porifera","Demospongiae"
"1356","Hemigellius","Porifera","Demospongiae"
"1357","Echinisis spicata","Cnidaria","Anthozoa"
"1358","Accalathura gigantissima","Arthropoda","Malacostraca"
"1359","Lissotesta minutissima","Mollusca","Gastropoda"
"1360","Hormathia armata","Cnidaria","Anthozoa"
"1361","Lucicutia wolfendeni","Arthropoda","Copepoda"
"1362","Eudorella","Arthropoda","Malacostraca"
"1363","Macrouridae","Chordata","Teleostei"
"1364","Fungiacyathus (Bathyactis) marenzelleri","Cnidaria","Anthozoa"
"1365","Isodictya spinigera","Porifera","Demospongiae"
"1366","Pelagodiscus atlanticus","Brachiopoda","Lingulata"
"1367","Hyperiella","Arthropoda","Malacostraca"
"1368","Flabegraviera mundata","Annelida","Polychaeta"
"1369","Smittina","Bryozoa","Gymnolaemata"
"1370","Trypanosyllis gigantea","Annelida","Polychaeta"
"1371","Cilunculus cactoides","Arthropoda","Pycnogonida"
"1372","Oligobregma collare","Annelida","Polychaeta"
"1373","Tryphosella adarei","Arthropoda","Malacostraca"
"1374","Lagiacrusichthys macropinna","Chordata","Teleostei"
"1375","Callogorgia","Cnidaria","Anthozoa"
"1376","Belaturricula gaini","Mollusca","Gastropoda"
"1377","Pseudokellya gradata","Mollusca","Bivalvia"
"1378","Paraceradocus gibber","Arthropoda","Malacostraca"
"1379","Hippomedon kergueleni","Arthropoda","Malacostraca"
"1380","Paraliparis antarcticus","Chordata","Teleostei"
"1381","Dutoitella mimica","Arthropoda","Ostracoda"
"1382","Spirorbinae","Annelida","Polychaeta"
"1383","Pulsellum","Mollusca","Scaphopoda"
"1384","Leptostylis antipus","Arthropoda","Malacostraca"
"1385","Leptostylis crassicauda","Arthropoda","Malacostraca"
"1386","Notasterias pedicellaris","Echinodermata","Asteroidea"
"1387","Aetideopsis antarctica","Arthropoda","Copepoda"
"1388","Aphelochaeta cincinnata","Annelida","Polychaeta"
"1389","Bathydorus","Porifera","Hexactinellida"
"1390","Dendrilla membranosa","Porifera","Demospongiae"
"1391","Inflatella coelosphaeroides","Porifera","Demospongiae"
"1392","Caenagnesia bocki","Chordata","Ascidiacea"
"1393","Marumomysis antarctica","Arthropoda","Malacostraca"
"1394","Themisto","Arthropoda","Malacostraca"
"1395","Cidaroida","Echinodermata","Echinoidea"
"1396","Diastylis anderssoni","Arthropoda","Malacostraca"
"1397","Pareledone prydzensis","Mollusca","Cephalopoda"
"1398","Polyplacophora","Mollusca","Polyplacophora"
